提交时间,受访者ID,分配问卷,板块,用户ID,A1_人设匹配,A2_生活逻辑,A3_图文匹配,A4_帖子连贯,开放题,图片序号,图片ID,判别结果,Q6_小红书使用频率,Q9_判别自信度
2026-05-13T16:16:31.825Z,resp_1778349686049_8n9ld6,user_01,SectionA,user_01,5,5,5,5,,,,,,
2026-05-13T16:16:31.825Z,resp_1778349686049_8n9ld6,user_01,SectionB,,,,,,,1,b01,1,,
2026-05-13T16:16:31.825Z,resp_1778349686049_8n9ld6,user_01,SectionB,,,,,,,2,b02,1,,
2026-05-13T16:16:31.825Z,resp_1778349686049_8n9ld6,user_01,SectionB,,,,,,,3,b11,1,,
2026-05-13T16:16:31.825Z,resp_1778349686049_8n9ld6,user_01,SectionB,,,,,,,4,b16,1,,
2026-05-13T16:16:31.825Z,resp_1778349686049_8n9ld6,user_01,SectionB,,,,,,,5,b17,1,,
2026-05-13T16:16:31.825Z,resp_1778349686049_8n9ld6,user_01,SectionB,,,,,,,6,b18,1,,
2026-05-13T16:16:31.825Z,resp_1778349686049_8n9ld6,user_01,SectionB,,,,,,,7,b03,1,,
2026-05-13T16:16:31.825Z,resp_1778349686049_8n9ld6,user_01,SectionB,,,,,,,8,b04,1,,
2026-05-13T16:16:31.825Z,resp_1778349686049_8n9ld6,user_01,SectionB,,,,,,,9,b05,1,,
2026-05-13T16:16:31.825Z,resp_1778349686049_8n9ld6,user_01,SectionB,,,,,,,10,b06,1,,
2026-05-13T16:16:31.825Z,resp_1778349686049_8n9ld6,user_01,Postsurvey,,,,,,,,,,A,5
2026-05-13T16:18:23.149Z,resp_1778349686049_8n9ld6,user_01,SectionA,user_01,5,5,5,5,,,,,,
2026-05-13T16:18:23.149Z,resp_1778349686049_8n9ld6,user_01,SectionB,,,,,,,1,b01,1,,
2026-05-13T16:18:23.149Z,resp_1778349686049_8n9ld6,user_01,SectionB,,,,,,,2,b02,1,,
2026-05-13T16:18:23.149Z,resp_1778349686049_8n9ld6,user_01,SectionB,,,,,,,3,b11,1,,
2026-05-13T16:18:23.149Z,resp_1778349686049_8n9ld6,user_01,SectionB,,,,,,,4,b16,1,,
2026-05-13T16:18:23.149Z,resp_1778349686049_8n9ld6,user_01,SectionB,,,,,,,5,b17,1,,
2026-05-13T16:18:23.149Z,resp_1778349686049_8n9ld6,user_01,SectionB,,,,,,,6,b18,1,,
2026-05-13T16:18:23.149Z,resp_1778349686049_8n9ld6,user_01,SectionB,,,,,,,7,b03,1,,
2026-05-13T16:18:23.149Z,resp_1778349686049_8n9ld6,user_01,SectionB,,,,,,,8,b04,1,,
2026-05-13T16:18:23.149Z,resp_1778349686049_8n9ld6,user_01,SectionB,,,,,,,9,b05,1,,
2026-05-13T16:18:23.149Z,resp_1778349686049_8n9ld6,user_01,SectionB,,,,,,,10,b06,1,,
2026-05-13T16:18:23.149Z,resp_1778349686049_8n9ld6,user_01,Postsurvey,,,,,,,,,,A,5
2026-05-13T16:19:38.113Z,resp_1778349686049_8n9ld6,user_01,SectionA,user_01,5,5,5,5,,,,,,
2026-05-13T16:19:38.113Z,resp_1778349686049_8n9ld6,user_01,SectionB,,,,,,,1,b01,1,,
2026-05-13T16:19:38.113Z,resp_1778349686049_8n9ld6,user_01,SectionB,,,,,,,2,b02,1,,
2026-05-13T16:19:38.113Z,resp_1778349686049_8n9ld6,user_01,SectionB,,,,,,,3,b11,1,,
2026-05-13T16:19:38.113Z,resp_1778349686049_8n9ld6,user_01,SectionB,,,,,,,4,b16,1,,
2026-05-13T16:19:38.113Z,resp_1778349686049_8n9ld6,user_01,SectionB,,,,,,,5,b17,1,,
2026-05-13T16:19:38.113Z,resp_1778349686049_8n9ld6,user_01,SectionB,,,,,,,6,b18,1,,
2026-05-13T16:19:38.113Z,resp_1778349686049_8n9ld6,user_01,SectionB,,,,,,,7,b03,1,,
2026-05-13T16:19:38.113Z,resp_1778349686049_8n9ld6,user_01,SectionB,,,,,,,8,b04,1,,
2026-05-13T16:19:38.113Z,resp_1778349686049_8n9ld6,user_01,SectionB,,,,,,,9,b05,1,,
2026-05-13T16:19:38.113Z,resp_1778349686049_8n9ld6,user_01,SectionB,,,,,,,10,b06,1,,
2026-05-13T16:19:38.113Z,resp_1778349686049_8n9ld6,user_01,Postsurvey,,,,,,,,,,A,5
2026-05-13T16:21:57.301Z,resp_1778349686049_8n9ld6,user_02,SectionA,user_02,5,5,5,5,,,,,,
2026-05-13T16:21:57.301Z,resp_1778349686049_8n9ld6,user_02,SectionB,,,,,,,1,b03,1,,
2026-05-13T16:21:57.301Z,resp_1778349686049_8n9ld6,user_02,SectionB,,,,,,,2,b04,1,,
2026-05-13T16:21:57.301Z,resp_1778349686049_8n9ld6,user_02,SectionB,,,,,,,3,b12,1,,
2026-05-13T16:21:57.301Z,resp_1778349686049_8n9ld6,user_02,SectionB,,,,,,,4,b19,1,,
2026-05-13T16:21:57.301Z,resp_1778349686049_8n9ld6,user_02,SectionB,,,,,,,5,b20,1,,
2026-05-13T16:21:57.301Z,resp_1778349686049_8n9ld6,user_02,SectionB,,,,,,,6,b21,1,,
2026-05-13T16:21:57.301Z,resp_1778349686049_8n9ld6,user_02,SectionB,,,,,,,7,b05,1,,
2026-05-13T16:21:57.301Z,resp_1778349686049_8n9ld6,user_02,SectionB,,,,,,,8,b06,1,,
2026-05-13T16:21:57.301Z,resp_1778349686049_8n9ld6,user_02,SectionB,,,,,,,9,b07,1,,
2026-05-13T16:21:57.301Z,resp_1778349686049_8n9ld6,user_02,SectionB,,,,,,,10,b08,1,,
2026-05-13T16:21:57.301Z,resp_1778349686049_8n9ld6,user_02,Postsurvey,,,,,,,,,,A,5
